filename,groups,students_per_group,courses,poisson_param,seed,n_components_initial,var_components_initial,n_components_bubble,var_components_bubble,n_components_heuristic,n_components_heuristic_balanced,var_components_heuristic_balanced,max_students_heuristic,max_students_balanced
ds_3_20_9_0.1_14141414.csv,3,20,9,0.1,14141414,3,169,4,103.58333333333333,8,8,12.553571428571429,6,6
ds_3_20_9_0.1_6666.csv,3,20,9,0.1,6666,3,192,3,192,3,3,0,6,6
ds_3_20_9_0.1_7777.csv,3,20,9,0.1,7777,1,0,1,0,5,5,16.3,11,8
ds_3_20_9_0.2_14141414.csv,3,20,9,0.2,14141414,1,0,1,0,3,3,0,10,11
ds_3_20_9_0.2_6666.csv,3,20,9,0.2,6666,1,0,1,0,3,3,0,10,10
ds_3_20_9_0.2_7777.csv,3,20,9,0.2,7777,1,0,1,0,3,3,0,11,10
ds_3_20_9_0.3_14141414.csv,3,20,9,0.3,14141414,1,0,1,0,3,3,0,16,16
ds_3_20_9_0.3_6666.csv,3,20,9,0.3,6666,1,0,1,0,3,3,0,14,13
ds_3_20_9_0.3_7777.csv,3,20,9,0.3,7777,1,0,1,0,3,3,0,13,12
ds_3_20_9_0.4_14141414.csv,3,20,9,0.4,14141414,1,0,1,0,3,3,0,15,14
ds_3_20_9_0.4_6666.csv,3,20,9,0.4,6666,1,0,1,0,3,3,0,17,15
ds_3_20_9_0.4_7777.csv,3,20,9,0.4,7777,1,0,1,0,3,3,0,18,14
ds_3_20_9_0.5_14141414.csv,3,20,9,0.5,14141414,1,0,1,0,3,3,0,20,15
ds_3_20_9_0.5_6666.csv,3,20,9,0.5,6666,1,0,1,0,3,3,0,17,15
ds_3_20_9_0.5_7777.csv,3,20,9,0.5,7777,1,0,1,0,3,3,0,21,16
ds_3_20_9_0.6_14141414.csv,3,20,9,0.6,14141414,1,0,1,0,3,3,0,17,16
ds_3_20_9_0.6_6666.csv,3,20,9,0.6,6666,1,0,1,0,3,3,0,21,19
ds_3_20_9_0.6_7777.csv,3,20,9,0.6,7777,1,0,1,0,3,3,0,19,18
ds_3_20_9_0.7_14141414.csv,3,20,9,0.7,14141414,1,0,1,0,3,3,0,20,19
ds_3_20_9_0.7_6666.csv,3,20,9,0.7,6666,1,0,1,0,3,3,0,23,19
ds_3_20_9_0.7_7777.csv,3,20,9,0.7,7777,1,0,1,0,3,3,0,20,18
ds_3_20_9_0.8_14141414.csv,3,20,9,0.8,14141414,1,0,1,0,3,3,0,23,18
ds_3_20_9_0.8_6666.csv,3,20,9,0.8,6666,1,0,1,0,3,3,0,22,19
ds_3_20_9_0.8_7777.csv,3,20,9,0.8,7777,1,0,1,0,3,3,0,19,18
ds_3_20_9_0.9_14141414.csv,3,20,9,0.9,14141414,1,0,1,0,3,3,0,23,20
ds_3_20_9_0.9_6666.csv,3,20,9,0.9,6666,1,0,1,0,3,3,0,23,19
ds_3_20_9_0.9_7777.csv,3,20,9,0.9,7777,1,0,1,0,3,3,0,23,19
ds_3_20_9_1.0_14141414.csv,3,20,9,1,14141414,1,0,1,0,3,3,0,28,20
ds_3_20_9_1.0_6666.csv,3,20,9,1,6666,1,0,1,0,3,3,0,21,20
ds_3_20_9_1.0_7777.csv,3,20,9,1,7777,1,0,1,0,3,3,0,27,19
ds_3_20_9_1.1_14141414.csv,3,20,9,1.1,14141414,1,0,1,0,3,3,0,25,19
ds_3_20_9_1.1_6666.csv,3,20,9,1.1,6666,1,0,1,0,3,3,0,26,20
ds_3_20_9_1.1_7777.csv,3,20,9,1.1,7777,1,0,1,0,3,3,0,27,20
ds_3_20_9_1.2_14141414.csv,3,20,9,1.2,14141414,1,0,1,0,3,3,0,23,20
ds_3_20_9_1.2_6666.csv,3,20,9,1.2,6666,1,0,1,0,3,3,0,23,20
ds_3_20_9_1.2_7777.csv,3,20,9,1.2,7777,1,0,1,0,3,3,0,28,20
ds_3_20_9_1.3_14141414.csv,3,20,9,1.3,14141414,1,0,1,0,3,3,0,27,20
ds_3_20_9_1.3_6666.csv,3,20,9,1.3,6666,1,0,1,0,3,3,0,25,20
ds_3_20_9_1.3_7777.csv,3,20,9,1.3,7777,1,0,1,0,3,3,0,25,20
ds_3_20_9_1.4_14141414.csv,3,20,9,1.4,14141414,1,0,1,0,3,3,0,28,20
ds_3_20_9_1.4_6666.csv,3,20,9,1.4,6666,1,0,1,0,3,3,0,24,20
ds_3_20_9_1.4_7777.csv,3,20,9,1.4,7777,1,0,1,0,3,3,0,26,20
ds_3_20_9_1.5_14141414.csv,3,20,9,1.5,14141414,1,0,1,0,3,3,0,28,20
ds_3_20_9_1.5_6666.csv,3,20,9,1.5,6666,1,0,1,0,3,3,0,27,20
ds_3_20_9_1.5_7777.csv,3,20,9,1.5,7777,1,0,1,0,3,3,0,26,20
ds_3_20_9_1.6_14141414.csv,3,20,9,1.6,14141414,1,0,1,0,3,3,0,30,20
ds_3_20_9_1.6_6666.csv,3,20,9,1.6,6666,1,0,1,0,3,3,0,26,20
ds_3_20_9_1.6_7777.csv,3,20,9,1.6,7777,1,0,1,0,3,3,0,30,20
